clause,label
Payment is contingent on the client securing their own funding from third parties.,1
Payment will be made via agreed platform with transaction fees split equally.,0
Freelancer is subject to unlimited financial penalties for any delay regardless of cause.,1
Freelancer will clearly communicate when a request constitutes a new deliverable vs revision.,0
Freelancer must complete all work requested verbally even if not documented in writing.,1
Late payments will incur a 2% monthly interest penalty after a 7-day grace period.,0
Freelancer must deliver additional features not in the original brief if client requests them.,1
Freelancer is not entitled to payment for work done before a signed contract.,1
Any third-party integrations not mentioned in the original scope will be quoted separately.,0
All revision requests must be completed within 24 hours regardless of complexity.,1
Client retains the right to expand project scope indefinitely at no additional cost.,1
Client owns all drafts, concepts, and rejected work even if payment has not been made.,1
Client may claim authorship of all deliverables publicly without crediting the freelancer.,1
Freelancer is liable for all client revenue losses during any project delay.,1
Client reserves right to offset freelancer payments against unrelated prior disputes.,1
Client may demand freelancer's exclusive availability without paying a retainer fee.,1
Freelancer must continue working for 90 days after giving notice of termination.,1
Client may request minor scope adjustments without additional charge up to 10% of original scope.,0
Currency exchange losses exceeding 3% will be compensated by the client.,0
Client must provide written notice before applying any penalty deductions.,0
Invoices are payable within 14 days of receipt.,0
Freelancer will not disclose client business information to third parties without consent.,0
Disputes must be resolved in a foreign country at the freelancer's own travel expense.,1
Both parties agree to a change order process for any work outside the original scope.,0
Each revision round must be completed before the next milestone begins.,0
Freelancer is not liable for delays caused by client's failure to provide required materials.,0
Neither party is liable for indirect or consequential damages arising from this agreement.,0
Freelancer is penalized if client's internal team causes project delays.,1
Client may request revisions up to 1 year after project delivery at no cost.,1
Client acknowledges that freelancer may work with multiple clients simultaneously.,0
A detailed payment schedule will be agreed upon by both parties before project start.,0
Freelancer will provide a full IP transfer document upon final payment.,0
Both parties agree to keep project details confidential for a period of 2 years.,0
Pre-existing intellectual property of either party remains their own after project completion.,0
Freelancer is entitled to payment for work in progress at time of termination.,0
All disputes will be resolved by a third-party arbitrator chosen solely by the client.,1
Both parties jointly own any new intellectual property created collaboratively.,0
Freelancer must be reachable by phone at all times including personal holidays.,1
Both parties will establish a communication schedule at the start of the project.,0
Freelancer will receive full payment for completed milestones regardless of project cancellation.,0
Hourly rate will be billed based on time-tracking logs approved by both parties.,0
Freelancer must pay a platform subscription fee to receive their own earnings.,1
Both parties will review and confirm project scope at each milestone.,0
A separate statement of work will be created for any significant scope additions.,0
Freelancer cannot display any work done for the client in their portfolio ever.,1
Both parties agree to a 30-day wind-down period for long-term engagements.,0
Freelancer retains moral rights to work as permitted by applicable law.,0
Client's liability to freelancer is limited to zero regardless of circumstances.,1
Client receives rights only to the specific deliverables described in this agreement.,0
Freelancer retains rights to tools, frameworks, and methodologies developed independently.,0
Client receives full ownership of final deliverables upon complete payment.,0
Client will provide a purchase order number before work begins for invoice processing.,0
Client may reject all work and request full redo without additional payment.,1
Both parties agree to a 7-day cure period before termination for breach of contract.,0
Client agrees to pay 50% upfront before work begins and 50% upon project completion.,0
Freelancer forfeits right to any kill fee upon early termination regardless of cause.,1
Client agrees to reimburse pre-approved expenses within 14 days of submission.,0
Freelancer is liable for all client losses incurred as a result of termination.,1
Either party may disclose information if required by law with prior notice to the other party.,0
Client may terminate the agreement and demand return of all previously paid amounts.,1
Client may withhold final payment indefinitely pending internal approval processes.,1
Freelancer may disclose project existence but not specific details without written permission.,0
Freelancer is penalized for delays caused by client's own slow feedback or approvals.,1
Client may terminate and retain all work without paying the remaining balance.,1
Both parties agree to resolve disputes under the laws of the Philippines.,0
Freelancer may not take on other clients during the duration of this agreement.,1
No additional compensation will be provided for scope increases at client's request.,1
Freelancer waives the right to pursue legal action against the client under any circumstances.,1
Client may request revisions indefinitely without additional cost.,1
Freelancer must make unlimited revisions until the client is completely satisfied.,1
Disputes shall first be resolved through good-faith negotiation between both parties.,0
Client may terminate the contract at any time without prior notice or compensation.,1
Client owns all tools and frameworks developed by the freelancer during the project.,1
Freelancer must redo entire project from scratch if client changes their mind.,1
Both parties agree to renegotiate payment terms if project scope increases by more than 20%.,0
Freelancer retains right to pause work if payment is overdue by more than 14 days.,0
Client assumes responsibility for legal compliance of content provided to freelancer.,0
Confidentiality breach by freelancer results in forfeiture of all unpaid compensation.,1
Client agrees not to disclose freelancer's proprietary processes to competitors.,0
Freelancer retains ownership of all work until full payment is received.,0
Kill fee of 25% of remaining project value applies to client-initiated early termination.,0
Client has 7 business days to review and request revisions after each deliverable.,0
Scope creep beyond agreed limits will be billed at the freelancer's standard hourly rate.,0
Client may terminate and reclaim all payments made if final output is subjectively unsatisfactory.,1
Freelancer may take personal leave with 3 days advance notice to the client.,0
Client acknowledges that scope changes may impact the agreed project deadline.,0
Client may disclose freelancer's work methods and processes to any third party freely.,1
Unresolved disputes will be referred to a mutually agreed mediator before legal action.,0
Freelancer must implement all verbal revision requests without written documentation.,1
Both parties agree on a clear definition of acceptable deliverable quality before work begins.,0
Both parties agree to a 30-day negotiation period before initiating formal legal proceedings.,0
Client may share freelancer's personal information with partners without consent.,1
Freelancer must refund all payments if client decides not to use the deliverables.,1
Freelancer is not liable for client's business decisions based on delivered work.,0
Freelancer is not responsible for third-party service failures outside their control.,0
Client may use freelancer's name and likeness in marketing without consent.,1
Both parties agree to maintain reasonable cybersecurity practices to protect shared data.,0
Scope limitations do not apply when client requests are deemed urgent.,1
All intellectual property created during the engagement belongs to the client retroactively.,1
Freelancer must be available 24 hours a day, 7 days a week without additional pay.,1
Minor text or color corrections are included in the project price without limit.,0
Client may unilaterally modify contract terms during an ongoing dispute.,1
Freelancer may use anonymized work samples for promotional purposes with client consent.,0
All payment disputes are resolved solely at the client's discretion.,1
Penalty clauses are suspended during force majeure events.,0
Revisions are only applicable to the original scope and not new additions.,0
Both parties agree to a weekly check-in to ensure project stays within scope.,0
Freelancer must respond to all messages within 30 minutes at all times including weekends.,1
Either party may terminate if the other becomes insolvent or ceases business operations.,0
Freelancer will issue invoices at each project milestone, payable within 10 business days.,0
Freelancer may not terminate the contract under any circumstances.,1
Client may delay payment without penalty for up to 6 months.,1
Client is not liable for any damages caused to freelancer during the engagement.,1
Termination does not affect accrued rights or obligations of either party.,0
Freelancer will hand over all project files within 5 days of termination.,0
Freelancer's liability is limited to the total amount paid under this agreement.,0
Confidentiality obligations do not apply to information already in the public domain.,0
Client will provide timely feedback within agreed timeframes to avoid project delays.,0
Any perceived quality issue results in automatic 30% payment deduction.,1
Disputes involving amounts under PHP 50,000 will be resolved through small claims court.,0
